[Kavita] [2026-04-14 07:07:59.693 +00:00  1] [Information] NeoSmart.Caching.Sqlite.SqliteCache Initializing db cache: Data Source=config/cache.db;Mode=ReadWriteCreate;Cache=Shared
[Kavita] [2026-04-14 07:07:59.835 +00:00  1] [Information] API.Services.TaskScheduler Scheduling reoccurring tasks
[Kavita] [2026-04-14 07:07:59.857 +00:00  1] [Debug] API.Services.TaskScheduler Scheduling Scan Library Task for daily
[Kavita] [2026-04-14 07:08:00.024 +00:00  1] [Debug] API.Services.TaskScheduler Scheduling Backup Task for daily
[Kavita] [2026-04-14 07:08:00.041 +00:00  1] [Debug] API.Services.TaskScheduler Scheduling Cleanup Task for daily
[Kavita] [2026-04-14 07:08:00.056 +00:00  1] [Information] API.Services.TaskScheduler Scheduling Auto-Update tasks
[Kavita] [2026-04-14 07:08:00.108 +00:00  1] [Debug] API.Services.TaskScheduler Scheduling stat collection daily at 0:00
[Kavita] [2026-04-14 07:08:00.124 +00:00  1] [Information] API.Services.HostedServices.ReadingSessionInitializer Closing any orphaned reading sessions from previous run
[Kavita] [2026-04-14 07:08:00.153 +00:00  1] [Information] API.Services.HostedServices.ReadingSessionInitializer Closed 0 orphaned reading sessions
[Kavita] [2026-04-14 07:08:00.179 +00:00  13] [Information] API.Program Running Migrations
[Kavita] [2026-04-14 07:08:00.235 +00:00  13] [Fatal] API.Program Running MigrateUserLibrarySideNavStream migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:00.286 +00:00  13] [Fatal] API.Program Running MigrateUserLibrarySideNavStream migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:00.293 +00:00  13] [Fatal] API.Program Running MigrateSmartFilterEncoding migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:00.309 +00:00  13] [Fatal] API.Program Running MigrateSmartFilterEncoding migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:00.315 +00:00  13] [Fatal] API.Program Running MigrateLibrariesToHaveAllFileTypes migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:00.376 +00:00  13] [Fatal] API.Program Running MigrateLibrariesToHaveAllFileTypes migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:00.381 +00:00  13] [Fatal] API.Program Running MigrateEmailTemplates migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:01.426 +00:00  16] [Information] API.Program /kavita/config/templates/EmailChange.html downloaded and written successfully
[Kavita] [2026-04-14 07:08:01.725 +00:00  13] [Information] API.Program /kavita/config/templates/EmailConfirm.html downloaded and written successfully
[Kavita] [2026-04-14 07:08:02.036 +00:00  13] [Information] API.Program /kavita/config/templates/EmailPasswordReset.html downloaded and written successfully
[Kavita] [2026-04-14 07:08:02.340 +00:00  13] [Information] API.Program /kavita/config/templates/SendToDevice.html downloaded and written successfully
[Kavita] [2026-04-14 07:08:02.654 +00:00  13] [Information] API.Program /kavita/config/templates/EmailTest.html downloaded and written successfully
[Kavita] [2026-04-14 07:08:02.654 +00:00  13] [Fatal] API.Program Running MigrateEmailTemplates migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:02.674 +00:00  13] [Fatal] API.Program Running MigrateVolumeNumber migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:02.702 +00:00  13] [Fatal] API.Program Running MigrateVolumeNumber migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:02.704 +00:00  13] [Fatal] API.Program Running MigrateWantToReadImport migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:02.706 +00:00  13] [Information] API.Program No want-to-read import file found, skipping
[Kavita] [2026-04-14 07:08:02.737 +00:00  13] [Fatal] API.Program Running MigrateWantToReadImport migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:02.759 +00:00  13] [Fatal] API.Program Running MigrateClearNightlyExternalSeriesRecords migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:02.815 +00:00  13] [Fatal] API.Program Running MigrateClearNightlyExternalSeriesRecords migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:02.821 +00:00  13] [Fatal] API.Program Running MigrateVolumeLookupName migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:02.827 +00:00  13] [Fatal] API.Program Running MigrateVolumeLookupName migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:02.835 +00:00  13] [Fatal] API.Program Running MigrateChapterNumber migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:02.895 +00:00  13] [Fatal] API.Program Running MigrateChapterNumber migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:02.908 +00:00  13] [Fatal] API.Program Running MigrateProgressExport migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:03.019 +00:00  13] [Fatal] API.Program Running MigrateProgressExport migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:03.114 +00:00  13] [Fatal] API.Program Running ManualMigrateMixedSpecials migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:03.160 +00:00  13] [Fatal] API.Program Migrating 0 progress events to new Volume structure for Specials - This may take over 10 minutes depending on size of DB. Please wait
[Kavita] [2026-04-14 07:08:03.177 +00:00  13] [Fatal] API.Program Running ManualMigrateMixedSpecials migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:03.199 +00:00  13] [Fatal] API.Program Running MigrateLooseLeafChapters migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:03.241 +00:00  13] [Fatal] API.Program Migrating 0 progress events to new Volume structure for Loose leafs - This may take over 10 minutes depending on size of DB. Please wait
[Kavita] [2026-04-14 07:08:03.257 +00:00  13] [Fatal] API.Program Running MigrateLooseLeafChapters migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:03.272 +00:00  13] [Fatal] API.Program Running MigrateChapterFields migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:03.577 +00:00  13] [Fatal] API.Program Running MigrateChapterFields migration - Updating 0 volumes that only have specials in them
[Kavita] [2026-04-14 07:08:03.649 +00:00  13] [Fatal] API.Program Running MigrateChapterFields migration - Updating 0 volumes that only have loose leaf chapters in them
[Kavita] [2026-04-14 07:08:03.649 +00:00  13] [Fatal] API.Program Running MigrateChapterFields migration - Updating all MangaFiles
[Kavita] [2026-04-14 07:08:03.808 +00:00  13] [Fatal] API.Program Running MigrateChapterFields migration - Updating 0 loose leaf chapters
[Kavita] [2026-04-14 07:08:03.824 +00:00  13] [Fatal] API.Program Running MigrateChapterFields migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:03.852 +00:00  13] [Fatal] API.Program Running MigrateChapterRange migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:03.921 +00:00  13] [Fatal] API.Program Running MigrateChapterRange migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:03.928 +00:00  13] [Fatal] API.Program Running MigrateMangaFilePath migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:03.935 +00:00  13] [Fatal] API.Program Running MigrateMangaFilePath migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:03.949 +00:00  13] [Fatal] API.Program Running MigrateLowestSeriesFolderPath migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:03.975 +00:00  13] [Fatal] API.Program Running MigrateLowestSeriesFolderPath migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:03.981 +00:00  13] [Fatal] API.Program Running ManualMigrateThemeDescription migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:04.003 +00:00  13] [Fatal] API.Program Running ManualMigrateThemeDescription migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:04.008 +00:00  13] [Fatal] API.Program Running MigrateInitialInstallData migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:04.028 +00:00  13] [Fatal] API.Program Running MigrateInitialInstallData migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:04.043 +00:00  13] [Fatal] API.Program Running MigrateSeriesLowestFolderPath migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:04.137 +00:00  13] [Fatal] API.Program Running MigrateSeriesLowestFolderPath migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:04.143 +00:00  13] [Fatal] API.Program Running MigrateLowestSeriesFolderPath2 migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:04.150 +00:00  13] [Fatal] API.Program Running MigrateLowestSeriesFolderPath2 migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:04.163 +00:00  13] [Fatal] API.Program Running MigrateDuplicateDarkTheme migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:04.182 +00:00  13] [Fatal] API.Program Running MigrateDuplicateDarkTheme migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:04.188 +00:00  13] [Fatal] API.Program Running ManualMigrateUnscrobbleBookLibraries migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:04.231 +00:00  13] [Fatal] API.Program Running ManualMigrateUnscrobbleBookLibraries migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:04.238 +00:00  13] [Fatal] API.Program Running ManualMigrateBlacklistTableToSeries migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-04-14 07:08:04.279 +00:00  13] [Fatal] API.Program Running ManualMigrateBlacklistTableToSeries migration - Completed. This is not an error
[Kavita] [2026-04-14 07:08:04.285 +00:00  13] [Fatal] API.Program Running ManualMigrateInvalidBlacklistSeries migration - Please be patient, this may take some time. This is not an error
